1,-4.5,0,99
2,1,1.2,0
3,2,14.5,0
4,3,67.5,55
5,0,1,9.4
6,57,1,0
7,25.45,1,0
8,3,112.3,0
9,-21,2,0
10,1.82,2,0
11,21.2,2,0
12,3,2.09,10
13,14,3.6,0
14,1,33,0
15,2,3,0.7
16,3.777,3,15
17,1.24,7,56
18,67.3,4,2
19,105,4,6
20,21,3,5
21,5,2,9
22,8.77,6,10.2
23,43,2,9
24,1,5,7
25,7,23,4
26,9,14,2
27,9,5,9
28,3,6,7
29,-1,3,45
30,4,3,7
31,8,5,7
32,9,67,32
33,4,5,6
34,8,2,3
35,6,8,7
36,4,6,9
37,9,4,3
38,19,3,5
39,5,9,2
40,1,5,6
41,3,6,7
42,8,4,5
43,7,4,9
44,8,3,12
45,88,12.3,9
46,77,32.4,12.1
47,13,14,76
48,12,3.4,9
49,3.3,5.7,8
50,1,2.5,3.1

